full_name,category,recommendation,local_decision_note,stars,forks,open_issues,pushed_at,updated_at,license,archived,html_url,source_api,star_score,recency_score,adoption_signal
crewAIInc/crewAI,agent_runtime,watchlist,"Large community, but company needs durable gates before role-play orchestration expansion.",53717,7514,469,2026-06-16T19:59:50Z,2026-06-16T20:36:01Z,MIT,False,https://github.com/crewAIInc/crewAI,https://api.github.com/repos/crewAIInc/crewAI,5,3,8
microsoft/autogen,agent_runtime,watch_or_deprioritize,Maintenance-mode signal means do not anchor new platform work here.,59010,8902,888,2026-04-15T11:59:09Z,2026-06-16T19:20:03Z,CC-BY-4.0,False,https://github.com/microsoft/autogen,https://api.github.com/repos/microsoft/autogen,5,2,7
langchain-ai/langgraph,agent_runtime,adapter_candidate,Use for stateful agent graph adapter only after local control-plane outbox/history exists.,34945,5853,591,2026-06-16T19:47:10Z,2026-06-16T20:30:53Z,MIT,False,https://github.com/langchain-ai/langgraph,https://api.github.com/repos/langchain-ai/langgraph,4,3,7
openai/openai-agents-python,agent_runtime,promote_gated_adapter,Useful for code-first agents/tools/handoffs/guardrails/tracing; real API execution gated.,27198,4194,154,2026-06-13T06:18:40Z,2026-06-16T20:52:36Z,MIT,False,https://github.com/openai/openai-agents-python,https://api.github.com/repos/openai/openai-agents-python,4,3,7
pydantic/pydantic-ai,agent_runtime,promote_local_adapter,Keep as typed local adapter and durable-exec reference; model-backed mode remains gated.,17795,2222,628,2026-06-16T16:03:02Z,2026-06-16T20:14:10Z,MIT,False,https://github.com/pydantic/pydantic-ai,https://api.github.com/repos/pydantic/pydantic-ai,3,3,6
openai/openai-agents-js,agent_runtime,watchlist,Useful later for web/voice surfaces; not current Python-first control-plane priority.,3230,823,72,2026-06-12T22:21:29Z,2026-06-16T19:09:56Z,MIT,False,https://github.com/openai/openai-agents-js,https://api.github.com/repos/openai/openai-agents-js,2,3,5
browser-use/browser-use,browser_worker,gated_service_worker_candidate,Strong browser-agent signal; only through read-only or exact public-action service gates.,99149,11065,304,2026-06-15T08:24:43Z,2026-06-16T20:45:21Z,MIT,False,https://github.com/browser-use/browser-use,https://api.github.com/repos/browser-use/browser-use,5,3,8
browser-use/browser-harness,browser_worker,research_candidate,Interesting low-level harness; must remain isolated until browser safety review.,14950,1405,143,2026-06-13T23:47:37Z,2026-06-16T20:02:07Z,MIT,False,https://github.com/browser-use/browser-harness,https://api.github.com/repos/browser-use/browser-harness,3,3,6
inngest/inngest,durable_execution,adapter_candidate,Good durable workflow/step/concurrency/rate-limit model; build manifest first.,5499,321,227,2026-06-16T20:43:50Z,2026-06-16T20:39:34Z,NOASSERTION,False,https://github.com/inngest/inngest,https://api.github.com/repos/inngest/inngest,2,3,5
dbos-inc/dbos-transact-py,durable_execution,adapter_candidate,Postgres durable workflow path; local SQLite manifest should precede dependency.,1422,71,3,2026-06-16T18:09:04Z,2026-06-16T15:28:25Z,MIT,False,https://github.com/dbos-inc/dbos-transact-py,https://api.github.com/repos/dbos-inc/dbos-transact-py,2,3,5
dbos-inc/dbos-transact-ts,durable_execution,watchlist,TS durable route; not current Python-first path.,1244,79,4,2026-06-16T19:02:55Z,2026-06-16T15:28:16Z,MIT,False,https://github.com/dbos-inc/dbos-transact-ts,https://api.github.com/repos/dbos-inc/dbos-transact-ts,2,3,5
temporalio/sdk-python,durable_execution,adapter_candidate,"Best fit for long-running HITL approval semantics, but operationally heavy.",1099,197,136,2026-06-16T19:27:15Z,2026-06-16T19:06:24Z,MIT,False,https://github.com/temporalio/sdk-python,https://api.github.com/repos/temporalio/sdk-python,2,3,5
inngest/inngest-js,durable_execution,watchlist,Relevant if TypeScript service-worker runtime appears.,967,139,131,2026-06-16T20:57:13Z,2026-06-16T20:47:20Z,GPL-3.0,False,https://github.com/inngest/inngest-js,https://api.github.com/repos/inngest/inngest-js,1,3,4
inngest/inngest-py,durable_execution,watchlist,Relevant if Python worker adapter is chosen.,207,27,24,2026-06-15T19:52:53Z,2026-06-15T21:50:27Z,Apache-2.0,False,https://github.com/inngest/inngest-py,https://api.github.com/repos/inngest/inngest-py,1,3,4
dbos-inc/dbos-openai-agents,durable_execution,watchlist,Small repo but directly aligned with durable OpenAI Agents; watch for maturity.,6,1,0,2026-02-04T23:55:46Z,2026-02-19T19:59:03Z,MIT,False,https://github.com/dbos-inc/dbos-openai-agents,https://api.github.com/repos/dbos-inc/dbos-openai-agents,1,2,3
humanlayer/humanlayer,human_approval,pattern_candidate,Good external HITL pattern source; map concepts to local approval packets before adopting.,10996,925,77,2026-03-07T22:34:40Z,2026-06-16T20:21:58Z,NOASSERTION,False,https://github.com/humanlayer/humanlayer,https://api.github.com/repos/humanlayer/humanlayer,3,2,5
a2aproject/A2A,interoperability,protocol_watch,"Useful for agent-to-agent interoperability boundary, not current local worker bus.",24315,2466,283,2026-06-12T10:40:26Z,2026-06-16T20:50:20Z,Apache-2.0,False,https://github.com/a2aproject/A2A,https://api.github.com/repos/a2aproject/A2A,4,3,7
modelcontextprotocol/python-sdk,interoperability,promote_tool_protocol,Useful for tool/context server boundary; continue treating MCP as tool/service surface.,23343,3550,562,2026-06-16T20:55:45Z,2026-06-16T20:55:49Z,MIT,False,https://github.com/modelcontextprotocol/python-sdk,https://api.github.com/repos/modelcontextprotocol/python-sdk,4,3,7
a2aproject/a2a-python,interoperability,protocol_watch,Python SDK watchlist for future cross-agent service endpoints.,1978,448,35,2026-06-12T10:01:42Z,2026-06-16T13:02:00Z,Apache-2.0,False,https://github.com/a2aproject/a2a-python,https://api.github.com/repos/a2aproject/a2a-python,2,3,5
langfuse/langfuse,observability,observability_candidate,Strong eval/trace platform; wait until trace export contract exists.,29213,3030,675,2026-06-16T20:50:34Z,2026-06-16T20:42:09Z,NOASSERTION,False,https://github.com/langfuse/langfuse,https://api.github.com/repos/langfuse/langfuse,4,3,7
Arize-ai/phoenix,observability,observability_candidate,Strong open-source observability/eval route; wait until OpenTelemetry export contract exists.,10166,926,607,2026-06-16T21:00:52Z,2026-06-16T20:58:32Z,NOASSERTION,False,https://github.com/Arize-ai/phoenix,https://api.github.com/repos/Arize-ai/phoenix,3,3,6
