asset_id,category,name,target,added_on,funds_signal,duplicate_risk_note,allowed_next_step
optimism-bdl-001,Blockchain/DLT,op-reth,https://github.com/ethereum-optimism/optimism/tree/develop/rust/op-reth,2026-06-12,,High upstream reth overlap; check upstream reth and Ethereum Foundation disclosures before any claim.,Source-map only; no build node start or execution client testing.
optimism-bdl-002,Blockchain/DLT,Primacy of Impact placeholder,Primacy Of Impact,2026-03-11,,Placeholder row; must be tied to a concrete in-scope impact and owned Optimism asset before promotion.,Use only as classification row in impact matrix.
optimism-bdl-003,Blockchain/DLT,op-dispute-mon,https://github.com/ethereum-optimism/optimism/tree/develop/op-dispute-mon,2024-05-29,,Scope notes say some op-challenger/dispute-game conditions detected by op-dispute-mon are excluded or lower value.,Map detector coverage and excluded dispute-game cases only.
optimism-bdl-004,Blockchain/DLT,op-node,https://github.com/ethereum-optimism/optimism/tree/develop/op-node,2024-05-29,,Alt-DA feature of op-node/op-batcher is out of scope; node/network tests remain blocked.,Map docs/spec links and local-only review surfaces; no node start.
optimism-sc-001,Smart Contract,L1StandardBridge,https://etherscan.io/address/0x99C9fc46f92E8a1c0deC1b1747d010903E884bE1,2024-03-11,$286.1M,Bridge foot-gun scenarios and documented fake ERC20 withdrawal protection are specifically called out; check exclusions first.,Asset-map only; no transaction or fork test.
optimism-sc-002,Smart Contract,L2OutputOracle,https://etherscan.io/address/0xdfe97868233d1aa22e815a266982f2cf17685a27,2024-03-11,,Legacy/upgrade-era component; check known issues and current relevance before review.,Map current code and deprecation status only.
optimism-sc-003,Smart Contract,DelayedWETH,https://etherscan.io/address/0xE497B094d6DbB3D5E4CaAc9a14696D7572588d14,2025-10-03,,Fault-proof bond/withdrawal paths need known-issue and op-dispute-mon coverage checks.,Map relationship to dispute-game flows.
optimism-sc-004,Smart Contract,L1ERC721Bridge,https://etherscan.io/address/0x5a7749f83b81B301cAb5f48EB8516B986DAef23D,2024-03-11,,Third-party custom token bridges are out of scope; distinguish canonical bridge logic from token/project misconfiguration.,Scope-map only.
optimism-sc-005,Smart Contract,OptimismPortal,https://etherscan.io/address/0xbEb5Fc579115071764c7423A4f12eDde41f106Ed,2024-03-11,,Known ETH deposit-to-contract stranding edge case is documented; check exclusion before promoting related ideas.,Map portal invariants and documented edge cases only.
optimism-sc-006,Smart Contract,L1CrossDomainMessenger,https://etherscan.io/address/0x25ace71c97B33Cc4729CF772ae268934F7ab5fA1,2024-03-11,,Large-data/gas cross-chain message griefing is documented; claims need bypass or new impact.,Map message-flow exclusions only.
optimism-sc-007,Smart Contract,DisputeGameFactory,https://etherscan.io/address/0xe5965Ab5962eDc7477C8520243A95517CD252fA9,2024-05-29,,Fault Proofs have proof-of-whale and op-dispute-mon exclusions; duplicate matrix required first.,Map dispute-game known exclusions.
optimism-sc-008,Smart Contract,AddressManager,https://etherscan.io/address/0xdE1FCfB0851916CA5101820A69b13a4E276bd81F,2024-03-11,,Privileged-address-only impacts are default out of scope unless additional privilege modification exists.,Map upgrade/admin assumptions.
optimism-sc-009,Smart Contract,ProxyAdmin,https://etherscan.io/address/0x543bA4AADBAb8f9025686Bd03993043599c6fB04,2024-03-11,,Proxy implementations are in scope when proxy is listed; avoid privileged-address-only claims.,Map proxy-to-implementation only.
optimism-sc-010,Smart Contract,OptimismMintableERC20Factory,https://etherscan.io/address/0x75505a97BD334E7BD3C476893285569C4136Fa0F,2024-03-11,,Bridge/token foot guns are documented; distinguish user/developer error from protocol impact.,Map canonical token factory assumptions.
optimism-sc-011,Smart Contract,PermissionedDisputeGame,https://etherscan.io/address/0xE9daD167EF4DE8812C1abD013Ac9570C616599A0,2025-10-03,,Dispute-game resolution issues need op-dispute-mon and known-issue checks before promotion.,Map to dispute-game impact classes.
optimism-sc-012,Smart Contract,AnchorStateRegistry,https://etherscan.io/address/0x18DAc71c228D1C32c99489B7323d441E1175e443,2025-10-03,,Fault-proof state anchoring; duplicate matrix required.,Map state-root assumptions only.
optimism-sc-013,Smart Contract,OptimismPortal Implementation,https://etherscan.io/address/0xe2F826324b2faf99E513D16D266c3F80aE87832B,2024-05-29,,Implementation row; compare against proxy scope and known portal edge cases.,Map proxy/implementation version only.
optimism-sc-014,Smart Contract,FaultDisputeGame,https://etherscan.io/address/0x4146DF64D83acB0DcB0c1a4884a16f090165e122,2025-10-03,,Proof-of-whale and detected dispute-game cases are excluded or lower value.,Map known dispute-game exclusions.
optimism-sc-015,Smart Contract,PreimageOracle,https://etherscan.io/address/0xD326E10B8186e90F4E2adc5c13a2d0C137ee8b34,2025-10-03,,Fault-proof support component; needs upstream audit and known issue review.,Map audit references only.
optimism-sc-016,Smart Contract,SystemConfig,https://etherscan.io/address/0x229047fed2591dbec1eF1118d64F7aF3dB9EB290,2024-03-11,,Chain-operator best-practice violations are out of scope; avoid configuration-only claims.,Map config/state assumptions.
optimism-sc-017,Smart Contract,MIPS,https://etherscan.io/address/0x0f8EdFbDdD3c0256A80AD8C0F2560B1807873C9c,2025-10-03,,Fault-proof VM component; check audits and known dispute-game exclusions.,Map to proof system docs only.
optimism-sc-018,Smart Contract,Primacy of Impact placeholder,Primacy Of Impact,2026-03-11,,Placeholder row; not a concrete asset by itself.,Use only for severity/asset-placeholder guidance.
optimism-sc-019,Smart Contract,PolicyEngineStaking,https://optimistic.etherscan.io/address/0xb5CB7a05DD1311195982A26DFC8222477f9D8179,2026-05-21,,L2/Optimistic Etherscan asset; check whether impact directly affects OP Stack/Optimism protocol before any claim.,Map role and protocol-financial-impact requirement.
optimism-web-001,Web & App,Main OP Labs blog,https://blog.oplabs.co/,2025-10-03,,Live web probing DNS probing and XSS/subdomain testing are blocked; listed out-of-scope domains must be checked first.,Catalog-only; no live probing.
optimism-web-002,Web & App,Main OP Labs website,https://www.oplabs.co/,2025-10-03,,Public web testing remains gated.,Catalog-only.
optimism-web-003,Web & App,Optimism's Careers page,http://jobs.optimism.io/,2025-10-03,,Likely third-party employment surface; no probing or account actions.,Catalog-only and ownership check.
optimism-web-004,Web & App,Optimism's Community page,https://community.optimism.io/,2025-10-03,,No authenticated action social or public interaction.,Catalog-only.
optimism-web-005,Web & App,Optimism's Console,https://console.optimism.io/,2025-10-03,,Console/account behavior likely needs account gate; no login or probing.,Catalog-only and gate mapping.
optimism-web-006,Web & App,Optimism's Specs,https://specs.optimism.io/,2025-10-03,,Safe as documentation source; no security testing.,Use as rules/source reference.
optimism-web-007,Web & App,Optimism's Docs,https://docs.optimism.io/,2025-10-03,,Safe as documentation source; no security testing.,Use as rules/source reference.
optimism-web-008,Web & App,Optimism's App,https://app.optimism.io/,2025-10-03,,App/wallet interactions are explicitly gated; no live app testing.,Catalog-only and wallet-gate mapping.
optimism-web-009,Web & App,Optimism's Gateway,http://gateway.optimism.io/,2025-10-03,,Gateway/wallet interactions are explicitly gated; no live app testing.,Catalog-only and wallet-gate mapping.
optimism-web-010,Web & App,Main Optimism website,https://www.optimism.io/,2025-10-03,,No web probing DNS probing or public action.,Catalog-only.
